,by,descendants,id,kids,score,time,title,type,url
0,brtkdotse,29.0,37915241,"[37915789, 37915586, 37915735, 37915536, 37915833, 37915519, 37915663]",73,1697551496,Swedish union declares strike for Tesla employees,story,https://www.ifmetall.se/aktuellt/tesla/background-information-on-if-metalls-conflict-at-tesla/
1,gasull,104.0,37913256,"[37914353, 37914856, 37914820, 37914272, 37914412, 37914459, 37914485, 37914647, 37914299, 37915278, 37915238, 37915688, 37914616, 37914639, 37915769, 37915580, 37914681, 37915225, 37914490, 37913428]",221,1697541574,Encrypting private data and private communications is now an ethical duty,story,https://blog.tripu.info/encrypt/
2,danso,93.0,37914243,"[37915240, 37915610, 37915448, 37915414, 37915973, 37915960, 37915658, 37915888, 37916013, 37915924, 37915078, 37915164, 37915294, 37915369, 37915575, 37915697, 37914809, 37915122, 37915150, 37915134, 37915327]",131,1697547553,Small business owners say they're pressured to hire off-duty cops for security,story,https://minnesotareformer.com/2023/10/17/small-business-owners-they-are-pressured-to-hire-off-duty-mpd-cops-for-security/
3,ncarroll,11.0,37914958,[37915354],37,1697550323,Love After Life: Richard Feynman's Letter to His Departed Wife,story,https://www.themarginalian.org/2017/10/17/richard-feynman-arline-letter/
4,hackandthink,20.0,37914146,"[37916026, 37915059, 37914429, 37915907, 37915694, 37915071, 37914737]",71,1697547078,Mypy 1.6,story,https://mypy-lang.blogspot.com/2023/10/mypy-16-released.html
5,benbreen,0.0,37902837,,27,1697475742,The Largest Greek Manuscript?,story,https://blogs.bl.uk/digitisedmanuscripts/2023/10/the-largest-greek-manuscript.html
6,e2le,46.0,37911989,"[37914162, 37915943, 37915472, 37913701, 37913418, 37914725, 37914293, 37913591, 37913176, 37915708, 37914926, 37914138, 37913758, 37914051, 37914700, 37914705]",147,1697530768,Piped – An alternative privacy-friendly YouTube front end,story,https://github.com/TeamPiped/Piped
7,todsacerdoti,1.0,37915044,[37915848],7,1697550673,"Circulant Matrices, Eigenvectors, and the FFT",story,https://www.johndcook.com/blog/2023/05/12/circulant-matrices/
8,todsacerdoti,99.0,37910297,"[37912645, 37910942, 37910951, 37912869, 37910647, 37912746, 37910577, 37910765, 37911329, 37910730, 37910889, 37910498, 37910536]",246,1697514067,"BB(3, 3) is Hard",story,https://www.sligocki.com//2023/10/16/bb-3-3-is-hard.html
9,scvalencia,,37914115,,1,1697546956,Treble.ai (YC S19) Is Hiring Spanish Speaking Engineers in NYC,job,https://www.ycombinator.com/companies/treble-ai/jobs/tL8GeWc-full-stack-software-engineer
